7,9,8,5
11,5,8,9
8,5,11,9
13,2,15,8
4,15,6,0
10,7,5,1
15,2,3,8
3,2,13,8
0,6,15,4
7,10,1,5
3,6,15,8
13,11,9,8
9,7,5,11
4,14,1,15
6,12,14,4
2,15,8,3
15,6,3,8
7,5,11,9
9,8,5,7
15,1,14,2
5,7,10,1
6,15,4,0
14,4,15,1
11,9,7,5
11,5,8,13
5,11,13,8
0,4,15,6
0,4,15,6
10,1,5,7
12,10,1,14
13,2,15,8
8,13,11,5
5,1,15,8
3,8,13,2
4,14,1,15
14,4,6,12
8,9,7,5
7,5,8,9
13,8,3,2
3,2,13,8
6,0,4,15
15,8,3,2
15,8,13,2
9,11,5,8
5,11,13,8
0,6,15,4
12,10,1,14
10,12,14,1
8,9,7,5
7,9,8,5
2,15,6,3
13,8,9,11
8,9,7,5
10,12,14,1
3,2,15,6
9,11,5,7
1,5,7,10
3,2,13,8
5,7,10,1
14,12,10,1
1,15,2,14
13,11,5,8
13,11,5,8
1,14,2,15
5,7,9,11
3,6,15,2
2,3,6,15
10,7,5,1
11,5,7,9
5,8,9,11
13,11,5,8
9,11,5,7
9,8,13,11
15,6,3,2
9,11,13,8
11,9,7,5
6,12,14,4
4,0,6,15
10,7,5,1
3,8,15,2
10,7,5,1
8,13,11,5
9,11,13,8
2,3,8,15
2,15,8,13
11,9,7,5
3,2,15,8
4,15,2,14
12,10,1,14
7,5,1,10
7,9,8,5
4,15,1,14
6,3,8,15
13,8,9,11
11,5,7,9
14,12,6,4
0,4,15,6
6,15,4,0
11,13,8,5
4,15,6,0
1,10,12,14
7,9,11,5
1,5,7,10
4,14,2,15
2,3,6,15
4,6,12,14
7,5,1,10
11,5,8,9
2,15,4,14
2,3,6,15
9,8,13,11
9,7,5,11
9,8,13,11
7,10,1,5
14,12,6,4
12,10,1,14
12,14,4,6
10,12,14,1
1,14,2,15
15,8,5,1
14,1,15,2
4,14,12,6
6,3,8,15
2,15,6,3
13,8,5,11
